COMMENT,ORIGINATOR,NORAD_CAT_ID,OBJECT_NAME,OBJECT_TYPE,CLASSIFICATION_TYPE,INTLDES,EPOCH,EPOCH_MICROSECONDS,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,FILE,TLE_LINE0,TLE_LINE1,TLE_LINE2,OBJECT_ID,OBJECT_NUMBER,SEMIMAJOR_AXIS,PERIOD,APOGEE,PERIGEE,DECAYED
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-08 20:00:01,224,15.76240387,0.0001135,53.2178,31.983,92.2637,164.8279,0,999,395,-0.0060544,-0.00875816,0,3435941,0 STARLINK-3874,1 52365U 22045AL  22128.83334491 -.00875816  00000-0 -60544-2 0  9992,2 52365  53.2178  31.9830 0001135  92.2637 164.8279 15.76240387  3959,2022-045AL,52365,6719.241,91.357,341.868,340.343,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-08 22:00:00,999936,15.76083248,9.76e-05,53.2177,31.5694,86.0229,284.1886,0,999,194,-0.0061004,-0.00876231,0,3436768,0 STARLINK-3874,1 52365U 22045AL  22128.91667824 -.00876231  00000-0 -61004-2 0  9994,2 52365  53.2177  31.5694 0000976  86.0229 284.1886 15.76083248  1940,2022-045AL,52365,6719.687,91.366,342.208,340.897,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-09 14:00:01,999872,15.74822977,0.0001155,53.2171,28.2578,95.3717,98.1622,0,999,204,-0.0064225,-0.00872989,0,3437431,0 STARLINK-3874,1 52365U 22045AL  22129.58335648 -.00872989  00000-0 -64225-2 0  9998,2 52365  53.2171  28.2578 0001155  95.3717  98.1622 15.74822977  2044,2022-045AL,52365,6723.272,91.439,345.914,344.36,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-09 22:00:00,999936,15.74194844,0.0001148,53.2173,26.6067,98.6416,185.3193,0,999,210,-0.0066264,-0.00875971,0,3438010,0 STARLINK-3874,1 52365U 22045AL  22129.91667824 -.00875971  00000-0 -66264-2 0  9998,2 52365  53.2173  26.6067 0001148  98.6416 185.3193 15.74194844  2109,2022-045AL,52365,6725.06,91.475,347.697,346.153,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-10 00:00:00,999648,15.74029828,0.000101,53.2173,26.1942,91.8027,304.6645,0,999,413,-0.0065322,-0.00859059,0,3437962,0 STARLINK-3874,1 52365U 22045AL  22130.00001157 -.00859059  00000-0 -65322-2 0  9994,2 52365  53.2173  26.1942 0001010  91.8027 304.6645 15.74029828  4139,2022-045AL,52365,6725.53,91.485,348.075,346.716,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-10 08:00:01,224,15.73250735,0.0001112,53.2173,24.5427,117.471,8.5615,0,999,419,-0.00054027,-0.00075924,0,3438506,0 STARLINK-3874,1 52365U 22045AL  22130.33334491 -.00075924  00000-0 -54027-3 0  9992,2 52365  53.2173  24.5427 0001112 117.4710   8.5615 15.73250735  4191,2022-045AL,52365,6727.751,91.53,350.364,348.867,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-10 14:00:01,224,15.73205644,0.0001067,53.2173,23.3041,105.7877,356.9676,0,999,220,-2.0231e-05,-3.458e-05,0,3439131,0 STARLINK-3874,1 52365U 22045AL  22130.58334491 -.00003458  00000-0 -20231-4 0  9993,2 52365  53.2173  23.3041 0001067 105.7877 356.9676 15.73205644  2209,2022-045AL,52365,6727.879,91.533,350.462,349.026,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-10 18:00:00,999648,15.73298658,0.0001229,53.2136,22.4825,105.7279,221.6196,0,999,425,-0.00041645,-0.00058904,0,3439613,0 STARLINK-3874,1 52365U 22045AL  22130.75001157 -.00058904  00000-0 -41645-3 0  9999,2 52365  53.2136  22.4825 0001229 105.7279 221.6196 15.73298658  4253,2022-045AL,52365,6727.614,91.527,350.306,348.652,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-10 18:00:00,999648,15.73298658,0.0001229,53.2136,22.4825,105.7279,221.6196,0,999,223,-0.00041645,-0.00058904,0,3439673,0 STARLINK-3874,1 52365U 22045AL  22130.75001157 -.00058904  00000-0 -41645-3 0  9999,2 52365  53.2136  22.4825 0001229 105.7279 221.6196 15.73298658  2239,2022-045AL,52365,6727.614,91.527,350.306,348.652,0
GENERATED VIA SPACETRACK.ORG API,18 SPCS,52365,STARLINK-3874,PAYLOAD,U,22045AL,2022-05-11 22:00:00,999936,15.73187913,0.000131,53.2132,16.71,100.4962,358.173,0,999,444,0.00015181,0.00020727,0,3441072,0 STARLINK-3874,1 52365U 22045AL  22131.91667824  .00020727  00000-0  15181-3 0  9993,2 52365  53.2132  16.7100 0001310 100.4962 358.1730 15.73187913  4445,2022-045AL,52365,6727.93,91.534,350.676,348.913,0
